verseId	book	chapter	verse	text
B01_C001_V001	Kejadian	1	1	Pada mulanya, Allah menciptakan langit dan bumi.
B01_C001_V002	Kejadian	1	2	Bumi tidak berbentuk dan kosong, kegelapan menutupi permukaan samudra, dan Roh Allah melayang-layang di atas permukaan air.
B01_C001_V003	Kejadian	1	3	Kemudian, Allah berfirman, “Jadilah terang.” Lalu, terang itu jadi.
B01_C001_V004	Kejadian	1	4	Allah melihat bahwa terang itu baik. Kemudian, Allah memisahkan terang itu dari gelap.
B01_C001_V005	Kejadian	1	5	Allah menyebut terang itu siang dan gelap itu malam. Jadilah petang dan jadilah pagi, itulah hari pertama.
B01_C001_V006	Kejadian	1	6	Kemudian, Allah berfirman, “Jadilah cakrawala di tengah-tengah air untuk memisahkan air dari air!”
B01_C001_V007	Kejadian	1	7	Lalu, Allah membuat cakrawala dan memisahkan air yang ada di atas cakrawala itu dari air yang ada di bawah cakrawala itu. Lalu, jadilah demikian.
B01_C001_V008	Kejadian	1	8	Allah menyebut cakrawala itu langit. Jadilah petang dan jadilah pagi, itulah hari kedua.
B01_C001_V009	Kejadian	1	9	Kemudian, Allah berfirman, “Biarlah air yang ada di bawah langit berkumpul ke satu tempat dan biarlah tanah yang kering itu tampak.” Lalu, jadilah demikian.
B01_C001_V010	Kejadian	1	10	Allah menyebut tanah yang kering itu darat dan kumpulan air itu disebut-Nya laut. Allah melihat bahwa itu baik.
B01_C001_V011	Kejadian	1	11	Allah berfirman, “Biarlah bumi menumbuhkan rerumputan, tumbuh-tumbuhan berbiji, dan pohon buah yang berbuah menurut jenisnya dan berbiji di dalamnya, di atas bumi.” Lalu, jadilah demikian.
B01_C001_V012	Kejadian	1	12	Bumi menumbuhkan rerumputan, tumbuh-tumbuhan berbiji menurut jenisnya, dan pohon yang berbuah dengan biji di dalamnya menurut jenisnya. Allah melihat bahwa itu baik.
B01_C001_V013	Kejadian	1	13	Jadilah petang dan jadilah pagi, itulah hari ketiga.
B01_C001_V014	Kejadian	1	14	Kemudian, Allah berfirman, “Biarlah ada penerang di cakrawala langit untuk memisahkan siang dari malam, dan biarlah itu ada untuk tanda-tanda dan untuk musim-musim, dan untuk hari-hari serta tahun-tahun,
B01_C001_V015	Kejadian	1	15	dan biarlah itu menjadi penerang di cakrawala langit, untuk memberikan terang atas bumi.” Demikianlah itu terjadi.
B01_C001_V016	Kejadian	1	16	Allah membuat dua penerang yang besar. Penerang yang lebih besar untuk menguasai siang, sedangkan penerang yang lebih kecil untuk menguasai malam. Dia juga membuat bintang-bintang.
B01_C001_V017	Kejadian	1	17	Allah mengatur mereka di cakrawala langit untuk menerangi bumi,
B01_C001_V018	Kejadian	1	18	untuk menguasai siang dan menguasai malam, dan untuk memisahkan terang dari gelap. Allah melihat bahwa itu baik.
B01_C001_V019	Kejadian	1	19	Jadilah petang dan jadilah pagi, itulah hari keempat.
B01_C001_V020	Kejadian	1	20	Kemudian, Allah berfirman, “Biarlah air dikerumuni oleh makhluk-makhluk hidup, dan biarlah burung-burung beterbangan di atas bumi, melintasi cakrawala langit.”
B01_C001_V021	Kejadian	1	21	Lalu, Allah menciptakan binatang-binatang laut yang besar dan segala jenis makhluk hidup yang bergerak serta berkerumun di dalam air menurut jenisnya, dan segala burung bersayap menurut jenisnya. Allah melihat bahwa itu baik.
B01_C001_V022	Kejadian	1	22	Allah memberkatinya, firman-Nya, “Berkembangbiaklah, dan berlipatgandalah, dan penuhilah air di lautan, dan biarlah burung-burung berlipat ganda di bumi.”
B01_C001_V023	Kejadian	1	23	Jadilah petang dan jadilah pagi. Inilah hari kelima.
B01_C001_V024	Kejadian	1	24	Kemudian, Allah berfirman, “Biarlah bumi menghasilkan makhluk hidup menurut jenisnya, hewan ternak, binatang melata, dan binatang-binatang liar, masing-masing menurut jenisnya.” Lalu, jadilah demikian.
B01_C001_V025	Kejadian	1	25	Allah membuat binatang liar di darat itu menurut jenisnya, hewan ternak menurut jenisnya, dan segala binatang melata di atas tanah menurut jenisnya. Allah melihat bahwa itu baik.
B01_C001_V026	Kejadian	1	26	Kemudian, Allah berfirman, “Sekarang, mari Kita membuat manusia dalam rupa Kita, menurut keserupaan Kita. Biarlah mereka berkuasa atas ikan-ikan di laut, atas burung-burung di udara, atas ternak, atas seluruh bumi, dan atas segala yang melata yang merayap di bumi.”
B01_C001_V027	Kejadian	1	27	Lalu, Allah menciptakan manusia menurut rupa-Nya. Menurut rupa Allah, Dia menciptakannya. Laki-laki dan perempuan, demikianlah Dia menciptakan mereka.
B01_C001_V028	Kejadian	1	28	Allah memberkati mereka dan Allah berfirman kepada mereka, “Beranakcuculah dan berlipatgandalah, dan penuhilah bumi, dan kuasailah itu. Berkuasalah atas ikan-ikan di laut, atas burung-burung di udara, dan atas segala yang hidup yang bergerak di bumi.”
B01_C001_V029	Kejadian	1	29	Kemudian, Allah berfirman, “Lihat, Aku telah memberikan kepadamu segala tumbuhan yang menghasilkan biji yang ada di seluruh muka bumi, dan segala pohon yang buahnya berbiji, itulah yang akan menjadi makananmu.
B01_C001_V030	Kejadian	1	30	Untuk segala binatang di bumi, dan untuk segala burung di langit, dan untuk segala yang merayap di bumi, yaitu segala sesuatu yang ada napas hidup di dalamnya, Aku telah memberi segala tumbuhan hijau sebagai makanan.” Lalu, jadilah demikian.
B01_C001_V031	Kejadian	1	31	Allah mengamati segala sesuatu yang telah dibuat-Nya, dan lihatlah, itu sangat baik! Jadilah petang dan jadilah pagi. Inilah hari keenam.
B01_C002_V001	Kejadian	2	1	Demikianlah langit dan bumi beserta segala isinya diselesaikan.
B01_C002_V002	Kejadian	2	2	Pada hari ketujuh, Allah menyelesaikan pekerjaan-Nya, yang telah dilakukan-Nya itu, dan Dia beristirahat pada hari ketujuh dari segala pekerjaan-Nya, yang telah dilakukan-Nya.
B01_C002_V003	Kejadian	2	3	Lalu, Allah memberkati hari ketujuh itu dan menguduskannya, sebab pada saat itu, Dia beristirahat dari segala pekerjaan-Nya, yang telah Dia lakukan dalam penciptaan.
B01_C002_V004	Kejadian	2	4	Inilah riwayat langit dan bumi ketika mereka diciptakan, pada waktu TUHAN Allah menjadikan bumi dan langit,
B01_C002_V005	Kejadian	2	5	ketika di bumi belum ada segala semak belukar di ladang dan belum ada tanaman ladang yang tumbuh karena TUHAN Allah belum menurunkan hujan ke bumi, dan belum ada orang yang mengolah tanah itu.
B01_C002_V006	Kejadian	2	6	Namun, ada kabut yang keluar dari bumi dan membasahi seluruh permukaan bumi.
B01_C002_V007	Kejadian	2	7	Kemudian, TUHAN Allah membentuk manusia dari debu tanah dan mengembuskan napas kehidupan ke dalam lubang hidungnya sehingga manusia itu menjadi makhluk yang hidup.
B01_C002_V008	Kejadian	2	8	Lalu, TUHAN Allah membuat sebuah taman di sebelah timur, di Eden, dan di sana Dia menempatkan manusia yang telah dibentuk-Nya itu.
B01_C002_V009	Kejadian	2	9	Dari dalam tanah, TUHAN Allah menumbuhkan segala jenis pohon yang enak dilihat dan baik untuk makanan. Pohon kehidupan juga ada di tengah-tengah taman itu beserta pohon pengetahuan yang baik dan yang jahat.
B01_C002_V010	Kejadian	2	10	Ada suatu sungai yang mengalir dari Eden dan mengairi taman itu. Dari situ, sungai tersebut terbagi menjadi empat cabang.
B01_C002_V011	Kejadian	2	11	Nama sungai yang pertama adalah Pison yang mengelilingi seluruh tanah Hawila, tempat yang ada emasnya.
B01_C002_V012	Kejadian	2	12	Emas dari tanah itu bagus, dan di sana ada damar bedolah dan batu krisopras.
B01_C002_V013	Kejadian	2	13	Nama sungai yang kedua adalah Gihon yang mengalir mengelilingi seluruh tanah Kush.
B01_C002_V014	Kejadian	2	14	Nama sungai yang ketiga adalah Tigris yang mengalir di sebelah timur Asyur. Sungai yang keempat adalah Efrat.
B01_C002_V015	Kejadian	2	15	TUHAN Allah mengambil manusia itu dan menempatkannya di taman Eden untuk mengolahnya dan memeliharanya.
B01_C002_V016	Kejadian	2	16	Kemudian, TUHAN Allah memberikan perintah kepada manusia itu, firman-Nya, “Kamu boleh makan dari segala pohon apa yang ada di taman ini,
B01_C002_V017	Kejadian	2	17	tetapi kamu jangan makan dari pohon pengetahuan tentang yang baik dan yang jahat, sebab pada hari kamu memakannya, kamu pasti akan mati.”
B01_C002_V018	Kejadian	2	18	Kemudian, TUHAN Allah berfirman, “Tidak baik kalau manusia itu sendiri saja. Aku akan membuat baginya, penolong yang sepadan dengannya.”
B01_C002_V019	Kejadian	2	19	Lalu, dari tanah, TUHAN Allah membentuk segala binatang di padang dan segala burung di udara, dan membawanya kepada manusia untuk melihat bagaimana dia akan menyebut mereka. Apa pun sebutan manusia itu bagi setiap makhluk hidup itu, itulah namanya.
B01_C002_V020	Kejadian	2	20	Jadi, manusia itu memberikan nama untuk semua hewan, untuk burung-burung di udara, dan semua binatang liar di padang. Akan tetapi, bagi manusia itu, tidak ditemukan seorang penolong yang sepadan dengannya.
B01_C002_V021	Kejadian	2	21	Lalu, TUHAN Allah mendatangkan tidur yang lelap atas manusia itu. Ketika dia tidur, TUHAN mengambil salah satu tulang rusuknya, lalu menutupnya dengan daging.
B01_C002_V022	Kejadian	2	22	Tulang rusuk, yang telah TUHAN Allah ambil dari manusia itu, dibuat-Nya menjadi seorang perempuan dan dibawa-Nya kepada manusia itu.
B01_C002_V023	Kejadian	2	23	Kemudian, manusia itu berkata, “Inilah tulang dari tulang-tulangku, dan daging dari dagingku; dia akan disebut perempuan karena dia diambil dari laki-laki.”
B01_C002_V024	Kejadian	2	24	Karena itu, laki-laki akan meninggalkan ayahnya dan ibunya, lalu bersatu dengan istrinya sehingga mereka akan menjadi satu daging.
B01_C002_V025	Kejadian	2	25	Manusia dan istrinya itu, keduanya telanjang, tetapi mereka tidak merasa malu.
B01_C003_V001	Kejadian	3	1	Ular adalah yang paling licik dari segala binatang di padang yang telah dijadikan oleh TUHAN Allah. Dia berkata kepada perempuan itu, “Apakah Allah benar-benar berfirman, ‘Kamu tidak boleh makan dari pohon mana pun di taman ini?’”
B01_C003_V002	Kejadian	3	2	Perempuan itu berkata kepada ular, “Kami boleh makan buah dari pohon-pohon di dalam taman,
B01_C003_V003	Kejadian	3	3	tetapi dari buah pohon yang ada di tengah taman, Allah telah berfirman, ‘Kamu tidak boleh memakannya, kamu juga tidak boleh menyentuhnya, nanti kamu akan mati.’”
B01_C003_V004	Kejadian	3	4	Namun, ular itu berkata kepada perempuan itu, “Kamu sama sekali tidak akan mati,
B01_C003_V005	Kejadian	3	5	sebab Allah tahu bahwa pada hari kamu memakannya, matamu akan terbuka dan kamu akan menjadi seperti Allah, tahu yang baik dan yang jahat!”
B01_C003_V006	Kejadian	3	6	Ketika perempuan itu melihat bahwa pohon itu baik sebagai makanan dan itu menarik bagi mata, dan pohon itu diinginkan untuk membuat seseorang bijaksana, dia pun memetik buahnya dan memakannya. Lalu, dia juga memberikannya kepada suaminya yang bersamanya, dan suaminya pun memakannya.
B01_C003_V007	Kejadian	3	7	Lalu, mata mereka berdua terbuka sehingga mereka tahu bahwa mereka telanjang. Kemudian, mereka menyemat daun-daun ara dan membuat cawat.
B01_C003_V008	Kejadian	3	8	Ketika mereka mendengar suara TUHAN Allah yang berjalan di taman pada suatu hari yang sejuk, manusia dan istrinya itu menyembunyikan diri mereka dari hadapan TUHAN Allah di antara pohon-pohon di dalam taman.
B01_C003_V009	Kejadian	3	9	Namun, TUHAN Allah memanggil manusia itu dan berkata kepadanya, “Di manakah kamu?”
